890	705	940	988	839	734	876	658	809	780	699	775	777	923	760	633	913	700	914	706	822	781	812	796	624	871	747	755	750	906	862	653	718	765	661	891	658	699	627	888	
869	704	915	848	824	683	744	560	849	767	625	805	669	803	680	690	913	688	902	804	880	831	792	929	711	734	774	739	770	893	737	793	695	841	785	854	723	791	750	921	
965	883	1052	1081	966	792	923	734	875	933	821	925	923	887	847	714	997	783	1029	842	915	881	911	851	830	911	804	912	882	1001	872	808	762	897	900	1076	746	819	815	950	
915	793	940	1043	918	783	990	708	812	872	844	843	954	876	821	683	925	761	953	737	866	821	889	918	766	924	753	878	830	940	782	707	760	899	734	958	752	777	770	988	
1031	797	1069	986	940	766	882	682	884	884	736	885	716	976	702	728	1008	738	863	886	962	842	926	956	746	919	831	826	842	837	877	802	789	774	780	968	724	755	767	944	
809	774	800	962	911	710	801	573	689	796	721	744	689	790	670	623	823	659	778	768	713	807	747	783	736	754	664	684	739	789	787	704	613	716	613	933	535	656	684	823	
913	673	806	782	801	721	715	603	669	715	679	690	644	858	556	548	787	583	741	648	753	675	799	777	642	776	664	727	695	826	712	627	638	637	594	840	643	594	538	788	
1089	938	1087	1130	1038	834	975	671	963	938	880	895	930	949	873	705	1084	705	1008	951	975	852	972	976	899	929	866	898	920	1106	947	791	823	1003	766	1114	849	889	872	1109	
939	749	921	1022	898	631	859	631	731	828	622	860	798	835	781	702	980	785	999	753	846	847	804	826	705	831	823	747	832	927	792	688	673	809	753	986	692	792	724	894	
652	637	773	681	798	584	662	481	712	693	538	602	600	695	676	496	735	547	729	684	808	649	542	669	611	584	573	626	623	783	634	596	573	755	580	800	559	627	532	695	
931	755	1019	972	854	732	783	558	881	772	733	762	722	931	726	672	900	770	856	927	870	846	832	917	615	920	817	823	941	919	850	731	712	865	693	1074	634	684	778	848	
1027	761	906	1025	895	687	797	621	744	789	688	822	865	854	645	646	957	681	869	775	759	740	860	830	730	870	741	722	800	967	820	717	763	795	628	1004	716	730	810	956	
818	726	785	854	743	757	781	532	716	674	721	668	694	816	596	657	890	608	645	755	750	750	785	832	582	767	709	675	784	789	770	665	677	661	614	956	623	690	562	767	
742	731	891	852	753	646	767	534	820	697	567	658	712	751	598	583	833	562	723	747	906	773	688	812	680	781	611	650	665	779	671	684	627	697	632	788	620	720	658	785	
1048	858	1002	1053	893	731	838	675	889	893	703	882	748	1012	849	678	1054	741	997	847	955	765	982	949	844	919	853	798	886	930	843	806	741	842	806	1039	793	782	832	889	
968	820	951	1081	856	795	896	668	805	803	766	819	841	915	688	804	968	666	772	947	833	816	861	795	806	849	906	832	955	963	886	809	792	810	730	1013	744	805	812	897	
822	772	923	904	839	663	861	619	833	752	579	700	776	821	701	671	834	575	804	753	839	722	783	765	743	823	708	711	625	734	696	718	718	703	692	914	630	722	719	754	
1024	715	961	896	869	670	818	698	821	861	742	869	716	958	812	724	959	728	1005	818	910	772	920	892	722	891	748	775	879	980	777	655	756	804	684	1025	801	775	746	967	
856	777	896	942	839	663	801	555	774	782	627	781	761	734	665	623	910	649	870	758	794	711	790	758	708	805	615	799	717	828	701	689	558	771	701	881	642	771	764	889	
730	660	833	731	759	541	718	456	691	704	604	648	628	625	663	559	769	543	767	660	781	732	657	718	567	701	527	663	682	655	638	533	503	675	606	808	533	647	570	763	
1112	874	1036	1011	976	830	943	695	888	834	760	886	836	1015	725	855	1088	730	1013	810	978	868	997	1000	662	1000	814	810	873	969	853	817	708	842	858	1119	803	778	752	989	
994	715	986	1002	892	711	956	726	787	756	618	877	754	886	744	562	930	714	910	773	769	786	835	824	745	874	864	755	759	863	909	710	731	795	692	893	605	710	729	905	
861	812	916	874	794	652	790	542	789	697	594	721	736	744	692	582	920	634	761	819	853	719	763	867	696	830	727	665	640	752	730	618	581	702	664	927	658	675	719	816	
692	729	802	825	681	565	701	498	669	694	582	609	685	730	668	604	742	582	803	581	723	743	692	664	635	675	639	595	660	681	594	617	581	618	704	801	591	569	560	668	
838	851	839	897	909	778	772	567	815	781	684	708	803	860	699	626	944	672	847	782	951	698	768	781	720	780	645	776	732	899	784	752	687	806	767	961	697	720	699	821	
762	703	850	797	804	616	699	493	776	730	611	710	592	744	680	511	895	634	843	750	813	710	734	855	688	768	674	772	703	747	691	625	619	789	689	851	539	701	698	762	
951	855	1004	948	862	717	904	675	868	779	752	891	776	897	800	601	942	745	929	835	946	827	888	957	681	864	793	758	757	859	862	754	690	822	810	964	727	671	686	946	
1065	838	1019	1000	880	777	825	688	919	836	763	917	768	904	754	668	1020	794	931	921	899	909	916	1025	705	878	843	860	822	985	851	802	822	813	795	989	804	763	854	1013	
